เพศ,ช่วงอายุ(ปี),อาชีพ,เครื่องดื่มที่นิยมบริโภค
หญิง,ต่ำกว่า30ปี,นักเรียน/นักศึกษา,ช็อกโกเเลตปั่น
หญิง,ต่ำกว่า30ปี,นักเรียน/นักศึกษา,ชาเย็น
หญิง,ต่ำกว่า30ปี,นักเรียน/นักศึกษา,คาปูชิโน่เย็น
หญิง,ต่ำกว่า30ปี,นักเรียน/นักศึกษา,ชาเขียวปั่น
หญิง,ต่ำกว่า30ปี,นักเรียน/นักศึกษา,คาปูชิโน่เย็น
หญิง,ต่ำกว่า30ปี,นักเรียน/นักศึกษา,ลาเต้เย็น
หญิง,ต่ำกว่า30ปี,ข้าราชการ,ชาเขียวเย็น
หญิง,ต่ำกว่า30ปี,ข้าราชการ,ชามะนาวเย็น
หญิง,ต่ำกว่า30ปี,ข้าราชการ,น้ำผลไม้ปั่น
หญิง,ต่ำกว่า30ปี,ข้าราชการ,คาปููชิโน่เย็น
หญิง,ต่ำกว่า30ปี,ข้าราชการ,คาปูชิโน่ปั่น
หญิง,ต่ำกว่า30ปี,พนักงานเอกชน,มอคค่า
หญิง,ต่ำกว่า30ปี,ข้าราชการ,เอสเพรสโซ่เย็น
หญิง,31-40ปี,พักงานเอกชน,ชาเขียวปั่่น
หญิง,31-40ปี,พักงานเอกชน,ช็อกโกเเลตเย็น
หญิง,31-40ปี,รัฐวิสาหกิจ,ชาเขียวปั่น
หญิง,31-40ปี,ข้าราชการ,มอคค่าเย็น
หญิง,31-40ปี,ธุรกิจส่วนตัว,คาปูชิโน่เย็น
หญิง,31-40ปี,ธุรกิจส่วนตัว,เอสเพรสโซ่เย็น
หญิง,31-40ปี,ธุรกิจส่วนตัว,ช็อกโกเเลตปั่น
หญิง,41ปีขึ้นไป,ข้าราชการ,ชาเขียวปั่น
หญิง,41ปีขึ้นไป,รัฐวิสาหกิจ,คาปูชิโน่ปั่ั่น
หญิง,41ปีขึ้นไป,ธุรกิจส่วนตัว,นมสดปั่น
หญิง,41ปีขึ้นไป,ธุรกิจส่วนตัว,ชาเขียวปั่น
ชาย,ต่ำกว่า30ปี,นักเรียน/นักศึกษา,คาปูชิโน่เย็น
ชาย,ต่ำกว่า30ปี,นักเรียน/นักศึกษา,อเมซอน
ชาย,ต่ำกว่า30ปี,นักเรียน/นักศึกษา,ลาเต้เย็น
ชาย,ต่ำกว่า30ปี,นักเรียน/นักศึกษา,ลาเต้เย็น
ชาย,ต่ำกว่า30ปี,ข้าราชการ,คาปููชิโน่ร้อน
ชาย,ต่ำกว่า30ปี,ข้าราชการ,เอสเพรสโซ่ร้อน
ชาย,ต่ำกว่า30ปี,ข้าราชการ,อเมซอน
ชาย,ต่ำกว่า30ปี,ธุรกิจส่วนตัว,ลาเต้ร้อน
ชาย,31-40ปี,พักงานเอกชน,อเมซอน
ชาย,31-40ปี,รัฐวิสาหกิจ,คาปูชิโน่เย็น
ชาย,31-40ปี,ข้าราชการ,เอสเพรสโซ่เย็น
ชาย,31-40ปี,ข้าราชการ,มอคค่าเย็น
ชาย,31-40ปี,ธุรกิจส่วนตัว,ชามะนาว
ชาย,31-40ปี,ธุรกิจส่วนตัว,เอสเพรสโซ่เย็น
ชาย,41ปีขึ้นไป,ธุรกิจส่วนตัว,คาปูชิโน่เย็น
ชาย,41ปีขึ้นไป,พักงานเอกชน,อเมซอน